"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-137078";"88,64";"69,09";"75,76";"100,00";"89,09";"92,93";"67,86";"24,24";"23,94";"100,00";"34,55";"35,35"
"TUW-138011";"86,67";"90,91";"81,82";"80,00";"78,18";"78,99";"70,83";"27,27";"26,45";"80,00";"36,36";"36,36"
"TUW-138447";"33,33";"38,26";"24,43";"98,59";"76,58";"77,66";"77,78";"21,89";"21,61";"34,39";"10,33";"10,76"
"TUW-138544";"80,68";"46,75";"48,00";"93,59";"72,47";"74,36";"78,13";"26,62";"25,90";"66,43";"27,27";"28,34"
"TUW-138547";"91,43";"83,12";"83,12";"89,61";"88,31";"88,94";"77,08";"28,57";"27,10";"77,14";"30,52";"32,03"
"TUW-139299";"55,76";"69,70";"50,69";"80,95";"69,70";"70,15";"68,75";"36,36";"35,12";"76,36";"43,56";"45,23"
"TUW-139761";"16,67";"20,00";"13,89";"65,06";"65,14";"53,72";"39,42";"20,14";"15,46";"60,13";"21,16";"21,88"
"TUW-139769";"16,67";"10,95";"7,34";"64,07";"54,63";"56,01";"33,22";"19,13";"14,41";"56,07";"20,86";"21,44"
"TUW-139781";"62,96";"56,67";"43,59";"94,10";"77,50";"76,25";"71,88";"30,00";"29,33";"71,88";"28,75";"28,75"
"TUW-139785";"30,39";"13,11";"12,10";"49,98";"47,73";"46,05";"60,28";"19,40";"19,65";"85,71";"13,57";"14,76"
"TUW-140047";"66,57";"54,42";"53,83";"84,53";"82,35";"83,12";"68,75";"26,14";"27,56";"83,75";"32,81";"34,22"
"TUW-140048";"97,33";"75,61";"77,19";"95,20";"79,31";"80,97";"44,51";"12,03";"13,35";"80,00";"31,52";"33,06"
"TUW-140229";"88,64";"83,94";"85,87";"82,79";"69,70";"73,46";"73,61";"26,06";"26,40";"95,00";"31,52";"32,73"
"TUW-140253";"75,00";"67,86";"70,28";"97,74";"95,54";"96,22";"84,38";"33,33";"30,00";"77,86";"30,95";"31,61"
"TUW-140308";"98,21";"83,46";"85,68";"100,00";"73,33";"73,33";"83,93";"21,41";"20,83";"80,00";"21,41";"23,26"
"TUW-140533";"31,75";"10,21";"9,47";"60,86";"41,09";"42,39";"40,38";"9,03";"9,54";"64,18";"16,58";"17,10"
"TUW-140867";"77,78";"54,17";"55,56";"84,44";"66,67";"64,76";"62,50";"19,31";"20,02";"77,78";"30,03";"31,02"
"TUW-140895";"28,41";"15,61";"15,88";"49,25";"41,47";"40,84";"75,76";"20,97";"20,76";"36,36";"3,83";"4,85"
"TUW-140983";"60,33";"47,44";"43,21";"83,33";"69,23";"68,72";"55,95";"19,23";"17,68";"68,75";"19,23";"20,05"
"TUW-141024";"97,96";"67,78";"71,19";"100,00";"100,00";"100,00";"66,67";"29,55";"29,54";"80,00";"41,67";"42,86"
"TUW-141065";"99,35";"87,23";"91,54";"91,34";"90,53";"90,91";"71,88";"22,84";"24,21";"75,71";"29,87";"31,39"
"TUW-141121";"84,38";"62,99";"59,50";"94,16";"95,45";"94,76";"78,33";"27,92";"27,88";"80,00";"32,47";"33,88"
"TUW-141140";"79,44";"74,60";"68,50";"93,93";"98,61";"95,65";"70,83";"25,88";"28,02";"70,48";"44,44";"40,97"
"TUW-141336";"70,59";"56,87";"57,10";"84,53";"67,19";"70,08";"63,21";"15,18";"15,46";"76,67";"21,35";"22,22"
"TUW-141618";"63,33";"36,70";"39,05";"78,67";"86,11";"79,81";"67,86";"33,03";"31,33";"77,89";"43,54";"43,41"
"TUW-141758";"35,35";"32,84";"25,48";"82,44";"69,25";"68,26";"39,38";"8,54";"10,12";"60,49";"12,37";"13,64"
"TUW-168222";"70,83";"38,64";"38,64";"80,00";"59,09";"58,59";"72,50";"31,82";"28,28";"50,00";"9,09";"9,09"
"TUW-168482";"10,00";"9,09";"7,14";"31,10";"34,35";"27,21";"36,26";"14,07";"12,15";"64,86";"11,22";"11,47"
"TUW-169511";"87,50";"92,17";"89,06";"94,17";"82,17";"86,39";"70,00";"28,00";"28,00";"75,00";"28,00";"28,89"
"TUW-172697";"70,00";"63,64";"53,85";"63,33";"56,82";"53,57";"46,25";"18,18";"17,08";"77,78";"22,73";"21,82"
